Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","1266866.847719","X","Sources internationales sûres",""
"MK","Indicateurs macro","2","Afghanistan","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","1296559.024282","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","4653578.92799","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","4873899.046099","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","1550645.485902","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","1635714.632272","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","18876200","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","20452300","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","3259860","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","3356410","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","2655.758357","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","2725.269627","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","20262296.106323","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","25627742.117294","X","Sources internationales sûres",""
"MK","Indicateurs macro","258","Anguilla","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","767.378714","X","Sources internationales sûres",""
"MK","Indicateurs macro","258","Anguilla","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","865.314773","X","Sources internationales sûres",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","3963.54","X","Sources internationales sûres",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","4334.45","X","Sources internationales sûres",""
"MK","Indicateurs macro","194","Arabie saoudite","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","2582197.979048","X","Sources internationales sûres",""
"MK","Indicateurs macro","194","Arabie saoudite","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","2949456.868395","X","Sources internationales sûres",""
"MK","Indicateurs macro","9","Argentine","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","10644778.799189","X","Sources internationales sûres",""
"MK","Indicateurs macro","9","Argentine","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","14605790.348988","X","Sources internationales sûres",""
"MK","Indicateurs macro","1","Arménie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","5564493.3","X","Sources internationales sûres",""
"MK","Indicateurs macro","1","Arménie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","6017035.2","X","Sources internationales sûres",""
"MK","Indicateurs macro","22","Aruba","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","5470.61","X","Sources internationales sûres",""
"MK","Indicateurs macro","22","Aruba","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","5733.608","X","Sources internationales sûres",""
"MK","Indicateurs macro","10","Australie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","1848560","X","Sources internationales sûres",""
"MK","Indicateurs macro","10","Australie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","1952680","X","Sources internationales sûres",""
"MK","Indicateurs macro","11","Autriche","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","369341.26","X","Sources internationales sûres",""
"MK","Indicateurs macro","11","Autriche","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","385361.89","X","Sources internationales sûres",""
"MK","Indicateurs macro","52","Azerbaïdjan","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","70337.8","X","Sources internationales sûres",""
"MK","Indicateurs macro","52","Azerbaïdjan","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","80092","X","Sources internationales sûres",""
