pays,cluster
Afghanistan,2
Afrique du Sud,3
Albanie,5
Algérie,2
Allemagne,3
Angola,2
Antigua-et-Barbuda,5
Argentine,5
Arménie,5
Australie,4
Autriche,4
Azerbaïdjan,2
Bahamas,5
Bangladesh,1
Barbade,5
Belgique,3
Belize,2
Bénin,2
Bolivie (État plurinational de),2
Bosnie-Herzégovine,5
Botswana,2
Brésil,1
Bulgarie,5
Burkina Faso,2
Cambodge,2
Cameroun,2
Canada,4
Chili,5
Chypre,5
Colombie,1
Congo,2
Costa Rica,5
Côte d'Ivoire,2
Croatie,5
Cuba,5
Danemark,4
Djibouti,2
Dominique,5
Égypte,2
El Salvador,5
Équateur,2
Espagne,5
Estonie,5
Eswatini,2
États-Unis d'Amérique,1
Éthiopie,2
Fédération de Russie,1
Fidji,5
Finlande,4
France,3
Gabon,2
Gambie,2
Géorgie,5
Ghana,2
Grèce,5
Grenade,5
Guatemala,2
Guinée,2
Guinée-Bissau,2
Haïti,2
Honduras,2
Hongrie,5
Îles Salomon,2
Indonésie,1
Irlande,4
Islande,4
Israël,5
Italie,5
Jamaïque,5
Japon,3
Jordanie,2
Kazakhstan,5
Kenya,2
Kirghizistan,2
Kiribati,2
Koweït,5
Lesotho,2
Lettonie,5
Liban,2
Libéria,2
Lituanie,5
Luxembourg,4
Madagascar,2
Malaisie,2
Malawi,2
Maldives,5
Mali,2
Malte,5
Maroc,2
Maurice,5
Mauritanie,2
Mexique,3
Mongolie,5
Monténégro,5
Mozambique,2
Myanmar,1
Namibie,2
Népal,2
Nicaragua,2
Niger,2
Nigéria,1
Norvège,4
Nouvelle-Zélande,4
Oman,5
Ouganda,2
Ouzbékistan,2
Pakistan,1
Panama,2
Paraguay,2
Pays-Bas,3
Pérou,2
Philippines,1
Pologne,5
Portugal,5
République centrafricaine,2
République dominicaine,2
Roumanie,5
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,3
Rwanda,2
Sainte-Lucie,5
Saint-Kitts-et-Nevis,5
Saint-Vincent-et-les Grenadines,5
Samoa,5
Sao Tomé-et-Principe,2
Sénégal,2
Serbie,5
Sierra Leone,2
Slovaquie,5
Slovénie,5
Soudan,2
Sri Lanka,2
Suède,4
Suisse,4
Suriname,2
Tadjikistan,2
Tchad,2
Thaïlande,1
Timor-Leste,2
Togo,2
Trinité-et-Tobago,5
Tunisie,2
Turkménistan,2
Turquie,1
Ukraine,1
Uruguay,5
Vanuatu,2
Viet Nam,3
Yémen,2
Zambie,2
Zimbabwe,2
